,charge,label
423,1.6300455,Standard
424,0.49126518,Standard
425,1.7342665,Standard
426,0.73236763,Standard
427,2.113661,Standard
428,3.5564237,Standard
429,1.2424316,Standard
430,2.8421495,Standard
431,1.5549045,Standard
432,2.0258517,Standard
433,0.715115,Standard
434,2.1893718,Standard
435,0.9042969,Standard
436,1.3807509,Standard
437,2.3698459,Standard
438,1.5039062,Standard
439,0.95185006,Standard
440,1.8088921,Standard
441,22.267796,Standard
442,2.2685547,Standard
443,1.0992838,Standard
444,9.372179,Standard
445,1.3476562,Standard
446,1.7916396,Standard
447,0.8854167,Standard
448,1.240994,Standard
449,2.5909288,Standard
450,6.577447,Standard
451,4.217231,Standard
452,0.5970052,Standard
453,1.209771,Standard
454,0.9260525,Standard
455,2.5815973,Standard
456,1.3787163,Standard
457,3.7663302,Standard
458,1.2190756,Standard
459,1.1533746,Standard
460,2.5080566,Standard
461,1.6328939,Standard
462,0.90926105,Standard
463,1.0733778,Standard
464,1.8927138,Standard
465,5.1679688,Standard
466,1.5630425,Standard
467,1.1217177,Standard
468,8.575684,Standard
469,1.333252,Standard
470,1.9879286,Standard
471,3.247206,Standard
472,1.0754123,Standard
473,1.5187988,Standard
474,2.54579,Standard
475,1.7265625,Standard
476,1.7790799,Standard
477,0.67561847,Standard
478,0.5356174,Standard
479,2.205295,Standard
480,1.2023112,Standard
481,2.2792425,Standard
482,1.7485352,Standard
483,2.1786296,Standard
484,1.2851562,Standard
485,3.7986112,Standard
486,1.6542969,Standard
487,3.7453341,Standard
488,2.2603352,Standard
489,1.28125,Standard
490,1.4056803,Standard
491,4.6668296,Standard
492,0.36092123,Standard
493,2.132704,Standard
494,2.239068,Standard
495,1.8435059,Standard
496,0.77750653,Standard
497,2.6223416,Standard
498,1.0933431,Standard
499,1.2983398,Standard
500,1.6872559,Standard
501,4.328559,Standard
502,1.7821723,Standard
503,2.285699,Standard
504,5.572754,Standard
505,1.5334201,Standard
506,3.0927463,Standard
507,0.8470052,Standard
508,4.1368814,Standard
509,1.7140028,Standard
510,1.1487901,Standard
511,1.1234537,Standard
512,14.983128,Standard
513,1.4978027,Standard
514,1.4518229,Standard
515,2.5488281,Standard
516,1.5239258,Standard
517,2.9983182,Standard
518,1.9429525,Standard
519,2.369629,Standard
520,1.1042752,Standard
521,1.3506944,Standard
522,1.410319,Standard
523,2.2195368,Standard
524,2.7783747,Standard
525,0.5999349,Standard
526,3.2335882,Standard
527,3.396159,Standard
528,4.004557,Standard
529,2.394721,Standard
530,0.75767684,Standard
531,129.49376,Standard
532,3.0478516,Standard
533,1.7521158,Standard
534,1.4171821,Standard
535,1.508979,Standard
536,1.2974175,Standard
537,3.7944336,Standard
538,2.7850478,Standard
539,9.016331,Standard
540,1.4835612,Standard
541,1.6086968,Standard
542,1.7913682,Standard
543,1.9612631,Standard
544,1.3999023,Standard
545,0.81000435,Standard
546,1.7078722,Standard
547,7.810764,Standard
548,1.5806749,Standard
549,0.5867513,Standard
550,1.7815756,Standard
551,0.7052409,Standard
552,1.5556641,Standard
553,4.0779624,Standard
554,1.1727973,Standard
555,1.3693848,Standard
556,1.9079318,Standard
557,0.5218099,Standard
558,2.6490886,Standard
559,2.27143,Standard
560,0.6585015,Standard
561,2.354655,Standard
562,1.9463975,Standard
563,0.52056205,Standard
564,3.3016222,Standard
565,1.3211263,Standard
566,0.80107963,Standard
567,2.5514324,Standard
568,2.9258084,Standard
569,1.3282335,Standard
570,7.6858726,Standard
571,1.3924967,Standard
572,1.3006998,Standard
573,2.74292,Standard
574,0.9312066,Standard
575,0.73017037,Standard
576,1.6664767,Standard
577,1.9219292,Standard
578,4.3464627,Standard
579,1.7416178,Standard
580,3.566135,Standard
581,1.1958008,Standard
582,1.3172201,Standard
583,0.8440755,Standard
584,1.3723145,Standard
585,2.239963,Standard
586,1.2780219,Standard
587,1.0392795,Standard
588,1.3068576,Standard
589,1.9558377,Standard
590,1.1975098,Standard
591,3.751709,Standard
592,2.06014,Standard
593,2.3988173,Standard
594,1.1054145,Standard
595,0.72610134,Standard
596,0.95073783,Standard
597,1.3271484,Standard
598,2.1019964,Standard
599,1.3005371,Standard
600,1.1140679,Standard
601,1.3757867,Standard
602,0.5944824,Standard
603,1.0845269,Standard
604,0.77745223,Standard
605,0.79123265,Standard
606,3.0344782,Standard
607,0.48407662,Standard
608,1.1674805,Standard
609,1.483941,Standard
610,0.89662004,Standard
611,1.5756294,Standard
612,1.1583116,Standard
613,2.2267253,Standard
614,2.344998,Standard
615,1.1882596,Standard
616,1.4888238,Standard
617,1.1905924,Standard
618,0.929579,Standard
619,1.7217339,Standard
620,1.1693522,Standard
621,3.6201444,Standard
622,1.3870443,Standard
623,6.639269,Standard
624,9.465847,Standard
625,0.8696289,Standard
626,1.9787326,Standard
627,1.1471354,Standard
628,1.661377,Standard
629,1.0738932,Standard
630,1.2269965,Standard
631,1.3959419,Standard
632,14.601237,Standard
633,1.458686,Standard
634,1.8585612,Standard
635,1.9185385,Standard
636,6.9384494,Standard
637,1.4882812,Standard
638,2.4738226,Standard
639,0.62890625,Standard
640,2.4341092,Standard
641,0.94715714,Standard
642,2.7881944,Standard
643,3.6122503,Standard
644,1.6074219,Standard
645,3.504964,Standard
646,12.584717,Standard
647,0.94243705,Standard
648,1.8662109,Standard
649,0.96761066,Standard
650,2.9622939,Standard
651,1.0135092,Standard
652,1.1485732,Standard
653,1.0780165,Standard
654,1.5397949,Standard
655,6.37717,Standard
656,1.6331381,Standard
657,0.94799805,Standard
658,2.0561795,Standard
659,3.3810492,Standard
660,2.4268122,Standard
661,1.1423068,Standard
662,1.5900607,Standard
663,2.0419378,Standard
664,3.162869,Standard
665,2.2435439,Standard
666,1.6832411,Standard
667,2.8552246,Standard
668,1.5383573,Standard
669,0.5411784,Standard
670,1.5811089,Standard
671,4.3869085,Standard
672,1.6267904,Standard
673,1.7661675,Standard
674,1.3209635,Standard
675,1.3000216,Standard
676,1.78125,Standard
677,1.948188,Standard
678,0.7595486,Standard
679,2.730523,Standard
680,2.5789118,Standard
681,2.6641438,Standard
682,4.313965,Standard
683,0.974094,Standard
684,1.3293457,Standard
685,1.9472656,Standard
686,2.5634766,Standard
687,2.0103896,Standard
688,0.9852159,Standard
689,3.0798612,Standard
690,3.991048,Standard
691,2.416124,Standard
692,1.1287435,Standard
693,1.0635308,Standard
694,4.6800942,Standard
695,0.7548828,Standard
696,84.01175,Standard
697,0.79918075,Standard
698,1.6662598,Standard
699,0.38500977,Standard
700,1.3470052,Standard
701,1.7399902,Standard
702,1.7646484,Standard
703,1.2821181,Standard
704,2.2965765,Standard
705,2.5416667,Standard
706,2.6135254,Standard
707,0.6118164,Standard
708,2.2000055,Standard
709,1.3300781,Standard
710,1.5201823,Standard
711,2.1616755,Standard
712,1.6098633,Standard
713,1.4003906,Standard
714,3.46658,Standard
715,1.8390299,Standard
716,11.382568,Standard
717,4.9305015,Standard
718,1.8602431,Standard
719,4.3976235,Standard
720,0.43877494,Standard
721,1.2479384,Standard
